자치구,장기외국인수,단기외국인수,전체외국인수,지역인구,외국인비율(%),long_pct,short_pct
중구,5399.1757,768275.5771999999,773674.7529,193852.30520833333,79.96,0.006978611722512627,0.9930213882774873
종로구,4969.9249,289965.656,294935.5809,238205.0352625,55.32,0.01685088277526301,0.9831491172247371
마포구,10003.9658,343318.0545,353322.02030000003,417052.96870416665,45.86,0.02831401731345755,0.9716859826865424
용산구,11496.5039,182094.2023,193590.7062,263872.4790041667,42.32,0.05938561889496326,0.9406143811050368
서대문구,9520.6394,220207.8968,229728.5362,325113.07000833336,41.4,0.04144299858208037,0.9585570014179196
강남구,7952.4498,347463.3892,355415.839,655545.1142875,35.16,0.022375057404236846,0.9776249425957632
서초구,5428.064,132271.6909,137699.7549,465975.1827041667,22.81,0.03941956181361366,0.9605804381863863
영등포구,3292.7824,96060.189,99352.9714,432745.77595416666,18.67,0.033142263926290584,0.9668577360737095
강서구,3013.6157,110305.5689,113319.1846,526891.403,17.7,0.026594046812440618,0.9734059531875594
송파구,4818.0426,129246.4975,134064.54009999998,736216.3999875,15.4,0.03593823240960046,0.9640617675903996
성동구,4690.7802,44344.738,49035.5182,308538.9398083333,13.71,0.09566086730985134,0.9043391326901487
동대문구,7454.2825,31579.0266,39033.3091,327699.1760625,10.64,0.1909723431570397,0.8090276568429604
광진구,6486.8186,31468.3051,37955.1237,353516.3765625,9.7,0.1709075868457781,0.829092413154222
구로구,1950.5183,38127.9517,40078.47,378003.2813625,9.59,0.04866748406313914,0.9513325159368607
성북구,6158.7824,36333.7792,42492.5616,408905.8578958334,9.41,0.144937894259592,0.8550621057404079
동작구,4234.7123,26487.8831,30722.5954,358048.7689041667,7.9,0.13783706242474555,0.8621629375752545
은평구,2676.7947,26492.8448,29169.6395,441263.64961666666,6.2,0.0917664649232295,0.9082335350767704
관악구,7146.8026,22076.0859,29222.8885,450404.0120125,6.09,0.24456181325128074,0.7554381867487192
강북구,2753.8589,15567.3605,18321.2194,287913.541725,5.98,0.1503098041607427,0.8496901958392572
금천구,1393.3978,9210.708,10604.1058,193612.6035333333,5.19,0.13140172554672172,0.8685982744532784
양천구,1538.2328,16159.5569,17697.7897,371396.60407916666,4.55,0.08691666168911477,0.9130833383108852
강동구,2558.2873,21148.1617,23706.449,509888.837375,4.44,0.1079152470283508,0.8920847529716492
도봉구,1458.8951,8422.0423,9880.9374,274950.6440375,3.47,0.14764743879462286,0.852352561205377
노원구,2988.3475,13584.7074,16573.0549,495216.3397541667,3.24,0.18031361858337897,0.819686381416621
중랑구,2551.6392,8877.5282,11429.1674,358424.7894541667,3.09,0.22325678771666255,0.7767432122833375
