자치구,내국인_비율,외국인_비율,화재율_1만명당
강남구,94.82977181639752,5.1702281836024735,6.437390666219274
강동구,98.01541755748003,1.9845824425199727,3.35367216274706
강북구,97.28683591434375,2.7131640856562482,6.946529808974027
강서구,96.87024215129686,3.1297578487031243,5.200312596483947
관악구,94.782735331796,5.217264668203999,6.238843183133135
광진구,92.93632188289313,7.063678117106866,5.459435907232392
구로구,89.73476630902326,10.265233690976757,5.343868954573566
금천구,90.23472517537466,9.765274824625342,9.916709785215213
노원구,98.82031476367062,1.1796852363293748,3.9982525636833866
도봉구,98.74412413789261,1.2558758621073747,6.510259345876873
동대문구,92.43777691877274,7.5622230812272555,4.821495186483644
동작구,95.73331935736441,4.2666806426355794,4.6641690882254725
마포구,90.02762671648516,9.972373283514841,6.497975565118967
서대문구,89.96146884120783,10.038531158792175,6.428532694629683
서초구,96.49181620828561,3.5081837917143934,5.129028516347699
성동구,95.08157090925424,4.918429090745759,6.4497531534794375
성북구,95.72876669294496,4.271233307055043,6.113876707134047
송파구,97.6802178846725,2.3197821153275076,5.18869180320468
양천구,98.41048587497879,1.5895141250212055,4.388839268041746
영등포구,88.22480153175471,11.775198468245303,8.041672948342255
용산구,90.15986720575398,9.84013279424601,8.299463469115393
은평구,98.36161422283844,1.6383857771615495,5.620222744734171
종로구,88.24694542594894,11.753054574051077,8.438108782146424
중구,75.58170812880793,24.418291871192075,7.170407380537286
중랑구,98.03500229967929,1.9649977003207184,4.882474793847315
