,자치구,면적,공장수,화재건수,공장밀도,화재밀도
0,종로구,23.91,177,1033,7.402760351317441,43.20368046842325
1,중구,9.96,1167,898,117.16867469879517,90.16064257028111
2,용산구,21.87,59,1032,2.6977594878829447,47.18792866941015
3,성동구,16.86,878,986,52.07591933570581,58.48161328588375
4,광진구,17.06,149,924,8.73388042203986,54.161781946072686
5,동대문구,14.22,172,833,12.09563994374121,58.579465541490855
6,중랑구,18.5,385,1011,20.81081081081081,54.648648648648646
7,성북구,24.57,81,940,3.2967032967032965,38.258038258038255
8,강북구,23.6,101,854,4.279661016949152,36.1864406779661
9,도봉구,20.65,116,820,5.6174334140435835,39.709443099273614
10,노원구,35.44,123,915,3.4706546275395036,25.818284424379232
11,은평구,29.71,51,1013,1.716593739481656,34.09626388421407
12,서대문구,17.63,41,1183,2.3255813953488373,67.10153148043109
13,마포구,23.85,94,1249,3.941299790356394,52.36897274633123
14,양천구,17.41,125,789,7.179781734635267,45.318782309017806
15,강서구,41.45,676,1263,16.308805790108565,30.470446320868515
16,구로구,20.12,1168,1000,58.05168986083499,49.70178926441351
17,금천구,13.02,3906,792,300.0,60.82949308755761
18,영등포구,24.55,857,1295,34.90835030549898,52.74949083503055
19,동작구,16.35,30,842,1.8348623853211008,51.498470948012226
20,관악구,29.57,52,1375,1.7585390598579642,46.499830909705786
21,서초구,46.97,191,1169,4.066425377900788,24.88822652757079
22,강남구,39.51,235,2093,5.947861300936472,52.97393065046824
23,송파구,33.88,440,1637,12.987012987012987,48.31759149940968
24,강동구,24.59,78,1051,3.1720211468076456,42.74095160634404
