자치구,총생활인구수,총외국인수,"외국인_비율(총인구대비, %)",중국인체류인구수,"중국인_비율(총인구대비, %)","중국인_비율(외국인대비, %)"
종로구,13640.1804,13640.1814,100.0,8670.2565,63.56,63.56
중구,13589.2959,13589.2961,100.0,8190.1204,60.27,60.27
용산구,15046.6725,15046.669399999999,100.0,3550.1655,23.59,23.59
성동구,13575.1242,13575.1273,100.0,8884.3471,65.45,65.45
광진구,24158.1353,24158.1335,100.0,17671.3149,73.15,73.15
동대문구,23509.1311,23509.1284,100.0,16054.8459,68.29,68.29
중랑구,6590.8484,6590.8494,100.0,4039.2102,61.29,61.29
성북구,14721.2824,14721.2787,100.0,8562.4963,58.16,58.16
강북구,7027.3157,7027.3168000000005,100.0,4273.4579,60.81,60.81
도봉구,3059.2624,3059.2614,100.0,1600.3663,52.31,52.31
노원구,5255.8342,5255.834199999999,100.0,2267.4867,43.14,43.14
은평구,6072.2302,6072.2286,100.0,3395.4339,55.92,55.92
서대문구,19941.4783,19941.4777,100.0,10420.8383,52.26,52.26
마포구,18865.5686,18865.5708,100.0,8861.605,46.97,46.97
양천구,4939.3425,4939.3446,100.0,3401.1118,68.86,68.86
강서구,8994.6336,8994.6359,100.0,5981.0202,66.5,66.5
구로구,38602.922,38602.924000000006,100.0,36652.4057,94.95,94.95
금천구,19587.2685,19587.2687,100.0,18193.8709,92.89,92.89
영등포구,47207.5466,47207.5487,100.0,43914.7663,93.02,93.02
동작구,14213.0818,14213.0815,100.0,9978.3692,70.21,70.21
관악구,22747.9824,22747.9783,100.0,15601.1757,68.58,68.58
서초구,8779.7136,8779.7137,100.0,3351.6497,38.17,38.17
강남구,12317.401,12317.4006,100.0,4364.9508,35.44,35.44
송파구,12055.4533,12055.453,100.0,7237.4104,60.03,60.03
강동구,8995.2846,8995.2865,100.0,6436.9992,71.56,71.56
