자치구,index,기준일ID,지역총생활인구수,외국인_총생활인구수,중국인체류인구수,중국인_비율(%),중국외외국인체류인구수,중국외_외국인_비율(%),총외국인수,합계_총생활인구수,"외국인_비율(합계대비, %)","중국인_비율(합계대비, %)","중국인_비율(외국인대비, %)"
강남구,218709.5,20231231.0,655545.1142875,12317.401,4364.9508,35.44,7952.4498,64.56,12317.4006,667862.52,1.84,0.65,35.44
강동구,218711.5,20231231.0,509888.837375,8995.2846,6436.9992,71.56,2558.2873,28.44,8995.2865,518884.12,1.73,1.24,71.56
강북구,218695.5,20231231.0,287913.541725,7027.3157,4273.4579,60.81,2753.8589,39.19,7027.3168000000005,294940.86,2.38,1.45,60.81
강서구,218702.5,20231231.0,526891.403,8994.6336,5981.0202,66.5,3013.6157,33.5,8994.6359,535886.04,1.68,1.12,66.5
관악구,218707.5,20231231.0,450404.0120125,22747.9824,15601.1757,68.58,7146.8026,31.42,22747.9783,473151.99,4.81,3.3,68.58
광진구,218691.5,20231231.0,353516.3765625,24158.1353,17671.3149,73.15,6486.8186,26.85,24158.1335,377674.51,6.4,4.68,73.15
구로구,218703.5,20231231.0,378003.2813625,38602.922,36652.4057,94.95,1950.5183,5.05,38602.924000000006,416606.2,9.27,8.8,94.95
금천구,218704.5,20231231.0,193612.6035333333,19587.2685,18193.8709,92.89,1393.3978,7.11,19587.2687,213199.87,9.19,8.53,92.89
노원구,218697.5,20231231.0,495216.3397541667,5255.8342,2267.4867,43.14,2988.3475,56.86,5255.834199999999,500472.17,1.05,0.45,43.14
도봉구,218696.5,20231231.0,274950.6440375,3059.2624,1600.3663,52.31,1458.8951,47.69,3059.2614,278009.91,1.1,0.58,52.31
동대문구,218692.5,20231231.0,327699.1760625,23509.1311,16054.8459,68.29,7454.2825,31.71,23509.1284,351208.31,6.69,4.57,68.29
동작구,218706.5,20231231.0,358048.7689041667,14213.0818,9978.3692,70.21,4234.7123,29.79,14213.0815,372261.85,3.82,2.68,70.21
마포구,218700.5,20231231.0,417052.96870416665,18865.5686,8861.605,46.97,10003.9658,53.03,18865.5708,435918.54,4.33,2.03,46.97
서대문구,218699.5,20231231.0,325113.07000833336,19941.4783,10420.8383,52.26,9520.6394,47.74,19941.4777,345054.55,5.78,3.02,52.26
서초구,218708.5,20231231.0,465975.1827041667,8779.7136,3351.6497,38.17,5428.064,61.83,8779.7137,474754.9,1.85,0.71,38.17
성동구,218690.5,20231231.0,308538.9398083333,13575.1242,8884.3471,65.45,4690.7802,34.55,13575.1273,322114.06,4.21,2.76,65.45
성북구,218694.5,20231231.0,408905.8578958334,14721.2824,8562.4963,58.16,6158.7824,41.84,14721.2787,423627.14,3.48,2.02,58.16
송파구,218710.5,20231231.0,736216.3999875,12055.4533,7237.4104,60.03,4818.0426,39.97,12055.453,748271.85,1.61,0.97,60.03
양천구,218701.5,20231231.0,371396.60407916666,4939.3425,3401.1118,68.86,1538.2328,31.14,4939.3446,376335.95,1.31,0.9,68.86
영등포구,218705.5,20231231.0,432745.77595416666,47207.5466,43914.7663,93.02,3292.7824,6.98,47207.5487,479953.32,9.84,9.15,93.02
용산구,218689.5,20231231.0,263872.4790041667,15046.6725,3550.1655,23.59,11496.5039,76.41,15046.669399999999,278919.15,5.39,1.27,23.59
은평구,218698.5,20231231.0,441263.64961666666,6072.2302,3395.4339,55.92,2676.7947,44.08,6072.2286,447335.88,1.36,0.76,55.92
종로구,218687.5,20231231.0,238205.0352625,13640.1804,8670.2565,63.56,4969.9249,36.44,13640.1814,251845.22,5.42,3.44,63.56
중구,218688.5,20231231.0,193852.30520833333,13589.2959,8190.1204,60.27,5399.1757,39.73,13589.2961,207441.6,6.55,3.95,60.27
중랑구,218693.5,20231231.0,358424.7894541667,6590.8484,4039.2102,61.29,2551.6392,38.71,6590.8494,365015.64,1.81,1.11,61.29
