자치구,지역총생활인구수,외국인_총합,중국인_총합,중국외_총합,한국인수,외국인수(합),외국인비율(%),한국인_pct,외국인_pct
중구,193852.30520833333,2366096.1103999997,776465.6976,1589630.4127999996,193852.30520833333,2366096.1103999997,92.43,7.57,92.43
종로구,238205.0352625,974349.6357999999,298635.91250000003,675713.7233,238205.0352625,974349.6357999999,80.36,19.64,80.36
마포구,417052.96870416665,1220909.2247000001,352179.6595,868729.5652000001,417052.96870416665,1220909.2247000001,74.54,25.46,74.54
용산구,263872.4790041667,606957.8027,185644.3678,421313.4349,263872.4790041667,606957.8027,69.7,30.3,69.7
서대문구,325113.07000833336,721002.0619999999,230628.7351,490373.3268999999,325113.07000833336,721002.0619999999,68.92,31.08,68.92
강남구,655545.1142875,1135711.9677000002,351828.33999999997,783883.6277000002,655545.1142875,1135711.9677000002,63.4,36.6,63.4
영등포구,432745.77595416666,572441.2836,139974.9553,432466.32829999994,432745.77595416666,572441.2836,56.95,43.05,56.95
서초구,465975.1827041667,370369.4563,135623.3406,234746.11570000002,465975.1827041667,370369.4563,44.28,55.72,44.28
강서구,526891.403,370106.4747,116286.5891,253819.88560000004,526891.403,370106.4747,41.26,58.74,41.26
성동구,308538.9398083333,188143.794,53229.0851,134914.7089,308538.9398083333,188143.794,37.88,62.12,37.88
구로구,378003.2813625,224415.129,74780.35740000001,149634.77159999998,378003.2813625,224415.129,37.25,62.75,37.25
송파구,736216.3999875,355705.3515,136483.9079,219221.4436,736216.3999875,355705.3515,32.58,67.42,32.58
동대문구,327699.1760625,154369.0966,47633.8725,106735.22409999999,327699.1760625,154369.0966,32.02,67.98,32.02
금천구,193612.6035333333,81309.829,27404.5789,53905.2501,193612.6035333333,81309.829,29.58,70.42,29.58
광진구,353516.3765625,145010.238,49139.62,95870.61800000002,353516.3765625,145010.238,29.09,70.91,29.09
성북구,408905.8578958334,157225.397,44896.275499999996,112329.12150000001,408905.8578958334,157225.397,27.77,72.23,27.77
동작구,358048.7689041667,102588.614,36466.2523,66122.36170000001,358048.7689041667,102588.614,22.27,77.73,22.27
관악구,450404.0120125,115978.6169,37677.2616,78301.3553,450404.0120125,115978.6169,20.48,79.52,20.48
강북구,287913.541725,51192.1518,19840.8184,31351.3334,287913.541725,51192.1518,15.1,84.9,15.1
은평구,441263.64961666666,72784.717,29888.2787,42896.43830000001,441263.64961666666,72784.717,14.16,85.84,14.16
양천구,371396.60407916666,53717.1529,19560.6687,34156.484200000006,371396.60407916666,53717.1529,12.64,87.36,12.64
강동구,509888.837375,67226.0076,27585.160900000003,39640.846699999995,509888.837375,67226.0076,11.65,88.35,11.65
중랑구,358424.7894541667,34579.8357,12916.7384,21663.0973,358424.7894541667,34579.8357,8.8,91.2,8.8
도봉구,274950.6440375,24796.3335,10022.408599999999,14773.924900000002,274950.6440375,24796.3335,8.27,91.73,8.27
노원구,495216.3397541667,36856.6927,15852.194099999999,21004.4986,495216.3397541667,36856.6927,6.93,93.07,6.93
