자치구,장기외국인수,단기외국인수,전체외국인수,지역인구,분자,분모,외국인비율(%)
중구,5399.1757,768275.5771999999,773674.7529,193852.30520833333,773674.7529,967527.0581083333,79.96
종로구,4969.9249,289965.656,294935.5809,238205.0352625,294935.5809,533140.6161625,55.32
마포구,10003.9658,343318.0545,353322.02030000003,417052.96870416665,353322.02030000003,770374.9890041667,45.86
용산구,11496.5039,182094.2023,193590.70620000002,263872.4790041667,193590.70620000002,457463.1852041667,42.32
서대문구,9520.6394,220207.8968,229728.53619999997,325113.07000833336,229728.53619999997,554841.6062083333,41.4
강남구,7952.4498,347463.3892,355415.839,655545.1142875,355415.839,1010960.9532875,35.16
서초구,5428.064,132271.6909,137699.7549,465975.1827041667,137699.7549,603674.9376041667,22.81
영등포구,3292.7824,96060.189,99352.9714,432745.77595416666,99352.9714,532098.7473541667,18.67
강서구,3013.6157,110305.5689,113319.1846,526891.403,113319.1846,640210.5876000001,17.7
송파구,4818.0426,129246.4975,134064.54009999998,736216.3999875,134064.54009999998,870280.9400875,15.4
성동구,4690.7802,44344.738,49035.5182,308538.9398083333,49035.5182,357574.4580083333,13.71
동대문구,7454.2825,31579.0266,39033.3091,327699.1760625,39033.3091,366732.4851625,10.64
광진구,6486.8186,31468.3051,37955.123700000004,353516.3765625,37955.123700000004,391471.5002625,9.7
구로구,1950.5183,38127.9517,40078.47,378003.2813625,40078.47,418081.7513625,9.59
성북구,6158.7824,36333.7792,42492.5616,408905.8578958334,42492.5616,451398.4194958334,9.41
동작구,4234.7123,26487.8831,30722.5954,358048.7689041667,30722.5954,388771.3643041667,7.9
은평구,2676.7947,26492.8448,29169.639499999997,441263.64961666666,29169.639499999997,470433.28911666665,6.2
관악구,7146.8026,22076.0859,29222.888499999997,450404.0120125,29222.888499999997,479626.9005125,6.09
강북구,2753.8589,15567.360499999999,18321.219399999998,287913.541725,18321.219399999998,306234.761125,5.98
금천구,1393.3978,9210.708,10604.105800000001,193612.6035333333,10604.105800000001,204216.7093333333,5.19
양천구,1538.2328,16159.5569,17697.7897,371396.60407916666,17697.7897,389094.3937791667,4.55
강동구,2558.2873,21148.1617,23706.449,509888.837375,23706.449,533595.286375,4.44
도봉구,1458.8951,8422.0423,9880.937399999999,274950.6440375,9880.937399999999,284831.5814375,3.47
노원구,2988.3475,13584.7074,16573.0549,495216.3397541667,16573.0549,511789.3946541667,3.24
중랑구,2551.6392,8877.5282,11429.1674,358424.7894541667,11429.1674,369853.9568541667,3.09
