자치구,미성년자,청년,중년,장년,고령
종로구,24499.458799999997,65108.7982,61420.7993,21453.8992,21811.2349
중구,16386.758700000002,51841.87180000001,46039.7337,15545.1731,15765.7338
용산구,30742.7752,88888.1896,77146.8149,24393.335099999997,24278.193
성동구,42061.872599999995,102295.4631,96672.9046,32158.8702,30097.5075
광진구,51548.7808,126643.85160000001,106605.5792,36398.9703,33265.2489
동대문구,44421.0513,111386.49339999999,97925.4313,35500.8154,37825.6406
중랑구,51426.5218,107166.03340000001,118424.2559,46987.5924,45019.5565
성북구,71296.1019,122900.8413,132513.6983,44445.3656,48849.9348
강북구,40970.772899999996,81892.1245,94444.17229999999,37432.843,42198.7848
도봉구,41886.365099999995,70157.03080000001,87784.727,37884.255,38707.5669
노원구,88477.8026,131881.8676,162493.235,59966.58869999999,61826.7828
은평구,70010.5111,129387.29299999999,148671.0892,53040.4684,55163.759099999996
서대문구,45677.672900000005,111334.6629,100606.518,33839.1194,36534.4703
마포구,55619.476,157918.749,122377.45309999998,34002.2425,35247.0473
양천구,77892.4988,91924.9818,126002.8795,40784.6584,41323.2842
강서구,84668.0649,167841.68939999997,161019.83370000002,56460.5564,59563.3851
구로구,57842.34940000001,111099.02539999998,124615.0377,44825.7661,42873.842300000004
금천구,22559.3217,64430.44869999999,63456.49100000001,23292.8748,20076.0464
영등포구,52256.7546,136152.9254,129329.1838,42948.917,39104.9187
동작구,54998.4275,123958.1895,111806.0803,38965.141,41379.6427
관악구,51561.625100000005,192867.92429999998,132036.38520000002,45023.8906,47777.5334
서초구,88290.02290000001,120820.5783,149574.4042,39522.5519,42110.7347
강남구,125622.6707,183552.57299999997,212355.51070000004,52290.464,56586.0925
송파구,128675.78940000001,203669.4184,226762.93099999998,75342.6706,70369.2642
강동구,91963.22879999998,138367.2287,168386.1996,61667.2609,61189.6449
