자치구,미성년자_비율,청년_비율,중년_비율,장년_비율,고령_비율
종로구,12.61,33.51,31.61,11.04,11.23
중구,11.26,35.61,31.63,10.68,10.83
용산구,12.53,36.21,31.43,9.94,9.89
성동구,13.87,33.73,31.88,10.6,9.92
광진구,14.54,35.73,30.08,10.27,9.38
동대문구,13.58,34.06,29.94,10.85,11.57
중랑구,13.94,29.04,32.09,12.73,12.2
성북구,16.98,29.26,31.55,10.58,11.63
강북구,13.8,27.58,31.81,12.61,14.21
도봉구,15.15,25.38,31.76,13.71,14.0
노원구,17.53,26.13,32.2,11.88,12.25
은평구,15.34,28.36,32.58,11.62,12.09
서대문구,13.93,33.94,30.67,10.32,11.14
마포구,13.73,38.98,30.2,8.39,8.7
양천구,20.61,24.32,33.34,10.79,10.93
강서구,15.99,31.69,30.41,10.66,11.25
구로구,15.17,29.14,32.69,11.76,11.25
금천구,11.64,33.24,32.74,12.02,10.36
영등포구,13.07,34.06,32.35,10.74,9.78
동작구,14.82,33.4,30.13,10.5,11.15
관악구,10.99,41.1,28.14,9.59,10.18
서초구,20.05,27.44,33.97,8.98,9.56
강남구,19.93,29.12,33.69,8.29,8.98
송파구,18.26,28.9,32.17,10.69,9.98
강동구,17.63,26.53,32.28,11.82,11.73
