SGG_NM,화재건수,노후건물비율(%),평균층수,평균면적(m²),인구수,화재율(1만명당)
강남구,422,0.7109004739336493,7.515243902439025,76520.875,655545.1142875,6.437390666219274
강동구,171,1.7543859649122806,6.5,8950.015873015873,509888.837375,3.35367216274706
강북구,200,0.0,4.924050632911392,2247.9430379746836,287913.541725,6.946529808974027
강서구,274,0.0,7.604761904761904,9249.166666666666,526891.403,5.200312596483947
관악구,281,0.7117437722419928,5.097345132743363,1795.4070796460178,450404.0120125,6.238843183133135
광진구,193,0.0,5.178082191780822,3739.328767123288,353516.3765625,5.4594359072323915
구로구,202,0.0,8.088235294117647,16590.65882352941,378003.2813625,5.343868954573566
금천구,192,0.5208333333333333,8.117283950617283,25484.512345679013,193612.6035333333,9.916709785215213
노원구,198,1.5151515151515151,7.81437125748503,6846.0898203592815,495216.3397541667,3.9982525636833866
도봉구,179,2.2346368715083798,6.54,29974.78,274950.6440375,6.510259345876873
동대문구,158,1.89873417721519,6.315789473684211,5418.917293233083,327699.1760625,4.821495186483644
동작구,167,1.1976047904191618,5.9037037037037035,4288.9111111111115,358048.7689041667,4.6641690882254725
마포구,271,1.107011070110701,5.842639593908629,3345.269035532995,417052.96870416665,6.497975565118967
서대문구,209,0.9569377990430622,5.848684210526316,40969.36842105263,325113.07000833336,6.428532694629683
서초구,239,1.2552301255230125,8.234972677595628,29637.043715846994,465975.1827041667,5.129028516347699
성동구,199,1.0050251256281406,7.960264900662252,5804.6688741721855,308538.9398083333,6.4497531534794375
성북구,250,2.0,6.132183908045977,2992.9597701149423,408905.8578958334,6.113876707134047
송파구,382,0.7853403141361256,8.359550561797754,8785.906367041198,736216.3999875,5.18869180320468
양천구,163,0.0,7.52,5745.12,371396.60407916666,4.388839268041746
영등포구,348,3.7356321839080464,7.952898550724638,109543.70289855072,432745.77595416666,8.041672948342255
용산구,219,5.0228310502283104,4.804054054054054,6658.885135135135,263872.4790041667,8.299463469115393
은평구,248,0.4032258064516129,5.840425531914893,14016.186170212766,441263.64961666666,5.620222744734171
종로구,201,7.462686567164178,4.267605633802817,3853.739436619718,238205.0352625,8.438108782146424
중구,139,6.474820143884892,7.0,8807.7,193852.30520833333,7.170407380537286
중랑구,175,0.0,5.420289855072464,3358.81884057971,358424.7894541667,4.882474793847315
