,자치구,내국인_비율,외국인_비율
0,강남구,94.82977181639752,5.1702281836024735
1,강동구,98.01541755748003,1.9845824425199727
2,강북구,97.28683591434375,2.7131640856562482
3,강서구,96.87024215129686,3.1297578487031243
4,관악구,94.782735331796,5.217264668203999
5,광진구,92.93632188289313,7.063678117106866
6,구로구,89.73476630902326,10.265233690976757
7,금천구,90.23472517537466,9.765274824625342
8,노원구,98.82031476367062,1.1796852363293748
9,도봉구,98.74412413789261,1.2558758621073747
10,동대문구,92.43777691877274,7.5622230812272555
11,동작구,95.73331935736441,4.2666806426355794
12,마포구,90.02762671648516,9.972373283514841
13,서대문구,89.96146884120783,10.038531158792175
14,서초구,96.49181620828561,3.5081837917143934
15,성동구,95.08157090925424,4.918429090745759
16,성북구,95.72876669294496,4.271233307055043
17,송파구,97.6802178846725,2.3197821153275076
18,양천구,98.41048587497879,1.5895141250212055
19,영등포구,88.22480153175471,11.775198468245303
20,용산구,90.15986720575398,9.84013279424601
21,은평구,98.36161422283844,1.6383857771615495
22,종로구,88.24694542594894,11.753054574051077
23,중구,75.58170812880793,24.418291871192075
24,중랑구,98.03500229967929,1.9649977003207184
